主题,赞成数,反对数,留言数,持续时长
西地省58车贷立案近半年毫无进展，单位回复让人心寒,26,0,9,172.0
A3区盛世耀凯小区杜鹃路段数百辆渣土车深夜扰民,0,0,8,183.0
A3区银盆岭村这里为何不拆迁,0,1,16,103.0
请A市加快片区均衡发展步伐,0,0,19,73.0
咨询A市对残疾人有什么扶持政策？,2,1,14,122.0
A市A3区兰亭湾畔小区违法开餐厅,0,0,11,151.0
A7县恒大翡翠华庭小区生活用水水压无法启动热水器,12,2,8,180.0
A市A9市河隧道长期有人夜间飙车，严重影响居民休息,0,0,14,121.0
A7县泉塘第三小学大放广播扰民,3,0,7,190.0
A市中院中央空调噪声扰民,0,0,8,180.0
咨询A7县榔梨街道发展规划问题,4,0,26,1
A市长城物业多次停水停电，影响居民正常生活,0,0,26,1
咨询A市购房资格审核问题,0,0,26,1
对A市万芙路青园小学门口停车场管理的建议,0,0,3,229.0
A市58车贷老板跑路美国，经侦拖延办案,801,0,7,148.0
A市晚报普通老百姓想看，却订不起,11,1,2,238.0
A1区扬帆小区夜市占据了消防通道！,1,0,8,179.0
请解决A7县海伦春天、当代广场居民出行难的问题,3,0,12,139.0
A市A5区鄱阳小区丰华苑1栋消防通道长期被业主车辆堵塞,1,0,8,177.0
A5区融圣国际小区长城物业强行霸占本小区的物业管理权,247,1,5,194.0
A市爱之心公寓底层员工不应该被卷入案件,2,0,3,226.0
A市城管执法基层工会2019年度从未发放任何福利给临时员工,0,0,3,226.0
A市流动摊贩临街摆摊，占用竹山园路,0,0,5,206.0
A市星沙中茂城恶意拖欠血汗钱，拒不退款,7,0,11,146.0
A市明昇壹城开发商施工占用劳动东路道路,0,0,15,106.0
A4区幸福考拉789小区宽带被电信垄断,0,0,4,215.0
希望A市能优化购房政策,0,0,23,26.0
辰北三角洲除了一所公立幼儿园无普惠性幼儿园,2,0,13,125.0
A7县泉塘街道楚天雅郡居民将高层住宅改成麻将馆,5,0,5,204.0
申请给A7县黄花镇大兴村增加安装道路隔音板,0,0,7,184.0
A市晟福兴汝金城二期涉嫌虚假宣传,5,0,23,25.0
A市长房云时代小区三期后面要建垃圾站？,2,0,10,154.0
A3区三里垅小区有人办葬礼扰民严重,0,0,4,213.0
请问趣步网络科技是否涉嫌传销,0,0,6,193.0
A3区天顶街道青山新村社区青青家园小吃店违规住改商,0,0,15,103.0
A市万家丽南绕城高速出口有没有建设的可能,3,2,7,182.0
A3区枫林三路银华山庄段成群结队的渣土车轰鸣而过，太吵了,6,0,5,201.0
A7县新国道107距我家仅3米，相关政府部门为何不同意拆迁？,5,0,10,151.0
建议在“我的A市”app中尽快接入法律服务的意见,0,0,5,200.0
A3区西湖街道茶场村五组何时才能启动拆迁？,0,1,18,71.0
A3区天麓洋房别墅区到处都是违章建筑,3,2,9,160.0
A5区洞井街道鄱阳社区农民安置房存在手续不全等问题,1,0,8,170.0
A市巿A5区中建嘉和城小区“生态停车场”变相的成货车物流停车场,0,0,9,160.0
已在A市缴纳社保，如何落户,1,1,25,1
建议地铁1号线南延到A市动物园,1,0,25,1
咨询A市产假的相关政策,0,0,25,1
投诉A市温斯顿英语培训机构拖延退费,0,0,25,1
A3区江山帝景小区内的大风车幼儿园为什么没改为普惠性幼儿园,0,0,25,1
感谢A7县泉塘街道泉星社区拆除废弃油烟排放管道,43,1,6,187.0
投诉A市达民智慧药房执业药师不在岗，无处方销售处方药,0,0,2,228.0
A7县万家丽北路楚龙路口十字路口人行道围挡何时拆除,2,0,7,178.0
A2区南托街道南湖大道管道夜晚施工扰民,4,0,9,158.0
有没有人管管A7县楚龙街道红树湾小区,0,0,20,49.0
A4区四方坪街道办事处废品收购站还在经营,0,0,10,148.0
A7县泉塘街道星港社区橄榄城违章搭建谁来管？,1,0,11,138.0
A市邦鸿国际城开发商涉嫌非法营销,0,0,3,217.0
A1区A9市河汉桥东岸附近步行道减速带存在安全隐患,1,0,4,206.0
A7县金科时代中心停车难,3,1,20,47.0
A3区梅溪湖街道区牛聋子粉馆非法营业，噪音震人,0,0,8,166.0
咨询A7县星沙旧城改造项目问题,0,0,20,47.0
A9市以太国际金融诈骗一事怎样才能立案？,0,0,3,215.0
A市美联幼儿园什么时候能招生,7,1,9,155.0
请修复A1区古曲路和远大路交叉口人行横道,0,0,5,195.0
请A市公安局A2区分局依法调查余易贷诈骗一案,12,0,7,174.0
A市楚通驾校套路学员，学费只能交不能退,1,0,3,214.0
A5区洞井乡楚莲社区莲湖汽车饰品城存在消防安全隐患,1,0,7,174.0
A1区辉煌国际城二期商铺被开发商违法出租给别人做餐饮,0,0,15,94.0
A7县三一街区幼儿园是否也调整到普惠幼儿园？,3,0,20,44.0
西地省交警平台121234301严重扰民,2,0,5,192.0
A3区欣胜园小区急需水改电改和车位改造,0,0,4,202.0
请求硬化A4区沙坪街道竹安村的道路,1,1,9,152.0
A7县橄榄城小区新安路货车严重扰乱了周边居民的生活,4,0,14,102.0
A市地铁施工长期扰民不应该！,2,0,19,52.0
西地省儿童医院停车太不方便了,6,0,11,131.0
A市洋湖景园地铁三号线施工扰民,2,1,10,141.0
A市有些公交站牌的信息不全面,0,0,9,151.0
投诉A市大汉汉园项目欺骗消费者,8,0,9,150.0
A4区伍家岭街道强制在宜家楚颂小区内修路,0,0,5,190.0
A7县漓楚路和东四路交汇处绿灯通行时间太短,3,0,8,160.0
A市南山十里天池虚假宣传及违规收取物业费,6,0,24,1
请问A市经开区力都大厦内的农贸市场有关问题,8,0,5,189.0
A市保利大都汇开发商虚假宣传，修改规划,0,0,24,1
请加快创建A市食品安全城市建设步伐,0,0,24,1
希望加快A6区河东路网建设,0,0,24,1
咨询A3区西湖街道茶场村五组的拆迁规划,0,0,24,1
A3区中海国际一期门口乱停车严重,0,0,24,1
A4区双拥路口一家高记烧烤店长期占用人行道经营,2,1,7,169.0
希望A7县x117公交末班车时间能延长,15,0,6,178.0
A6区润和长郡小区架空层的养老中心该不该建？,4,0,12,119.0
A7县北山镇荣合桥社区村民出行困难,6,0,16,79.0
A市地铁2号线梅溪湖西站的3号出口何时会修？,6,0,6,178.0
请问A市汽车南站何时会完工投入使用？,0,0,15,88.0
咨询原A7县居民的户口回迁相关事宜,0,0,16,78.0
呼吁停止在A7县泉塘街道小塘路设置110kv变电站,4,4,5,186.0
A2区刘家冲路两个月就道路施工了四次,0,0,3,206.0
A7县松雅小区后街违建都租来做早餐店,3,2,5,186.0
A市A1区华天楚水源足浴涉黄经营按摩服务,1,4,5,186.0
被A3区阿普阿布小区开发商坑害，购房多年现无购房资格,6,0,13,106.0
请A3区观沙岭街道公开调查结果,9,0,10,135.0
咨询A9市收养孩子的上户问题,10,53,3,204.0
举报A市仕弘教育等培训机构涉嫌欺诈,3,0,13,105.0
A3区公园里小区原物业不交接也不管理,0,0,5,184.0
反映A市70/90户型房屋限购的问题,1,0,6,174.0
按照当前的高铁规划，A市绿地海外滩小区会饱受噪音困扰,1,0,11,124.0
投诉A市尚公馆物业限制业主购水,14,2,6,172.0
建议增加A市龙骧巴士20路公交车发车密度,0,0,12,113.0
A市能不能提高医疗门诊报销范畴,3,0,7,162.0
希望A市能给底层创业者一个平台,1,0,6,172.0
A4区四方坪怡然翠园退房的钱也拿不到,0,0,8,152.0
A市医保局对肾衰竭患者的医保政策调整不合理,3,0,11,122.0
A2区橘郡礼顿山楼盘何时交房？,10,0,4,191.0
A市才子小区低层居民长期在高峰期无水可用,1,0,4,191.0
反对搅拌站修建在居民区百米范围内,2,0,7,161.0
能不能在A5区环保科技园规划一个公园,0,0,2,210.0
A3区咸嘉新村还有托管中心在非法营运,0,0,7,160.0
A3区天顶街道永恒社区夜间渣土车长时间扰民,0,0,9,140.0
建议A4区长雅中学附近道路中间设置隔离栏,0,0,9,140.0
A市人才购房补贴申请是否与单位注册地有关？,3,0,23,1
A市地铁1号线延长线到底哪天开工啊？,1,0,23,1
再次希望领导“拯救”丽发新城小区居民,0,0,23,1
A市地铁8号线工作现在就要开始准备了,0,0,23,1
举报A市自梦强数码科技有限公司虚假宣传,0,0,23,1
夫妻共同买的房为何申请A市人才购房补贴不通过？,0,0,23,1
A3区中海国际社区三期四期中间空地夜间施工噪音扰民,0,0,23,1
A8县市喜盈门范程商铺合同违约，请求主持公道！,3,0,4,189.0
A市理工大学（金盆岭校区）每天晚上野狗扰民,3,3,4,189.0
A市河西麦德龙到茶子山地铁站没有直达公交,2,0,4,189.0
西地省农机局需要三栋办公楼吗？,0,0,4,189.0
关于在A市骑摩托车相关问题的咨询,4,0,18,50.0
A市恒泰广场的房产证何时能下来？,0,0,7,159.0
投诉A市碧桂园南城首府开发商不按合同交房,0,0,9,139.0
A3区枫林三路的华润万家烂尾快7年了，无人问津,6,0,10,128.0
建议A7县长永高速东六线调头车道尽快启动实施,82,0,4,183.0
A8县科目三补考费要600一次，合理吗？,2,2,3,197.0
A4区福元西路199号万国城一期20栋106小区内开麻将馆严重扰民,0,0,5,177.0
A市四方坪双拥路口先福安置小区门面经营汽车钣喷业务，油漆气味很重,0,0,6,167.0
A3区中建梅溪湖中心安全通道设置车位出售,9,0,14,87.0
建议在A市咸嘉湖西路馨香雅苑路口装摄像头,0,0,7,156.0
A2区五矿格兰小镇物业态度差,0,0,7,156.0
A市北二环与中青路交界处有人倾倒渣土将耕地填埋,0,0,4,185.0
A3区楚仪路车辆乱停违停,0,0,17,56.0
A市A1区路和五一大道交叉口无红绿灯，人车混流现象严重,0,0,6,165.0
A1区鸿运花苑安置楼楼顶被堆了好多垃圾,0,0,6,165.0
A3区含浦学士街道以“环保”为幌子污染交通路面,0,0,7,155.0
建议A7县在漓楚路和东六路交汇处建地下通道或人行天桥,27,0,6,163.0
A9市碧桂园城市花园小区旁违规建垃圾站,2,0,6,164.0
A市外国语学校周日收费补课,2,0,11,114.0
A市居民买房，入住后却遭开发商组织涉黑人员恐吓,1,0,3,193.0
A7县星沙镇板仓路晶华美地小区电梯噪音扰民,7,0,7,153.0
A市新姚南路与御绑路交汇处的人行横道线如同虚设,1,0,4,183.0
A市麓谷保利小区频繁停水,0,0,20,24.0
蒙华铁路A9市段一季度工程款还未拨付,0,0,3,192.0
A7县黄星大道当代广场段辅道乱停车严重,3,0,8,142.0
A5区新城新界世小区至今未成立业委会,1,6,7,152.0
A2区山水嘉园住户私开麻将馆，聚众赌博噪音扰民,2,0,9,132.0
三问A市音乐厅,7,4,4,181.0
请求协调A6区康乃馨医院解决收费纠纷,2,0,5,171.0
请求给A市长桥综合农贸市场远大二路修建人行通道,0,0,4,181.0
A市新奥燃气服务态度差,1,0,6,161.0
A7县楚龙街道三一街区小区13栋103违法住改商，开设快递站,0,0,6,161.0
A3区杜鹃路由西向东方向左转绿灯时间太短了,2,3,7,150.0
西地省楚雅名未健康管理有限公司长期拖欠员工工资,17,0,7,149.0
能不能取消A3区中海国际三期南门的围栏,6,1,13,90.0
新规划的A市第二大商圈，请给红星片区留一片绿心,10,1,4,179.0
A6区丁字中学周末补课收费,1,0,22,1
咨询A7县安沙镇拆迁安置事项,0,0,22,1
A8县市星河湾小区的房屋质量太差了,0,0,22,1
A市万科金域蓝湾开发商恶意欺骗消费者,0,0,22,1
A市高新区金南家园三期工地频繁通宵施工，噪音严重扰民,0,0,22,1
A3区学士睿哲小学进出道路被封，影响学生出行,3,1,3,189.0
咨询A市小学教师薪资问题,2,1,4,179.0
A市利保壹号公馆项目夜间噪声扰民,0,0,5,168.0
A市河西楚江新区高架快速路和地铁少,2,0,8,138.0
A市万科魅力之城商铺无排烟管道，小区内到处油烟味,0,0,11,108.0
A市教师招聘考试不公平,3,0,16,58.0
关于A市民政局官网的建议及意见,0,0,3,187.0
建议在A3区旺龙路增加人行斑马线,0,0,5,167.0
请重视A5区砂子塘万境水岸小学路段的交通安全问题,3,0,7,147.0
A7县楚郡未来实验学校针对四年级学生上调学费是否违规,1,0,6,157.0
投诉A市博长山水香颐开发商违规强制交房,1,0,7,147.0
请问A2区中意小区棚改何时启动？,0,0,9,127.0
投诉A市晟通牡丹舸小区物业乱收费,0,0,7,146.0
反对在A7县诺亚山林小区门口设立医院,3,0,10,116.0
新房在A6区雷峰政务超市交物业维修金为何只能用A市银行的卡？,5,0,4,175.0
A2区文明交通劝导员要求公开有关补贴信息,0,0,4,175.0
A7县历史遗留问题得不到妥善解决,0,0,9,125.0
A市北辰三角洲E5区因房屋品质问题导致外墙渗水严重,0,0,10,115.0
请问A7县星沙开元路与东四路西南角闲置地块有什么规划用途？,8,0,4,173.0
A7县一中计划中秋和国庆补课,6,4,4,173.0
A市社保局12333电话为什么一直没人接？,17,0,2,192.0
A市职业技术学院学生宿舍没有空调,2,0,17,44.0
A4区新河生鲜农贸市场内提质改造后有问题,0,0,16,54.0
请A市雅礼中学1814班公示班费开支情况,1,1,6,153.0
A2区鑫源和诚8栋A1区兴盛里面麻将馆扰民,0,0,6,153.0
对A市居民在网上办理居住证的疑问,2,1,20,14.0
市政管道臭水严重影响A6区莲湖路18号重建地小区自建房居民的生活,6,0,7,142.0
A市南部片区部分路段急需改造,0,0,5,162.0
A3区第十幼儿园数百名学龄前儿童即将无学可上,2,0,2,191.0
要尽快扩大A市沿楚江公共活动走廊带规划建设,2,0,3,181.0
A市A9市河路至三一大道段一直没有拉通,0,0,4,171.0
请清理A市人民西路137号人行道附近的僵尸车,0,0,5,161.0
投诉A市博林金谷原有绿化环境被破坏,18,0,5,160.0
关于A2区瑞富苑楼盘有关问题的投诉,1,0,8,131.0
A3区学丰路卓越千山里工地夜间施工扰民,1,0,12,91.0
西地省电子科技职业技术学院的学费太高，退档遭拒,0,1,12,91.0
A6区绿地香树花城公积金贷款比登天还难！,0,0,13,81.0
A市中南汽车城附近紫晶城的房子漏水问题很严重！,0,0,4,170.0
A7县楚龙西路保利香槟国际周边的交通问题如何解决,1,0,21,1
A3区梅溪湖创新中心违规建食堂,0,0,21,1
A3区含浦中海国际5期小区门口菜市场污染环境,0,0,21,1
对A市经开区泉星公园项目规划再进一步优化的建议,0,0,21,1
A2区丽发新城小区云塘路还没有铺沥青,0,0,21,1
A8县星河湾房子存在严重的质量问题,0,0,21,1
请A市加快体育强省国家战略步伐,0,0,21,1
A市A3区洺悦城虚假宣传,0,0,21,1
A3区梅溪湖看云路润芳园小区油烟扰民,0,0,21,1
投诉A市楚熙水郡拖延办理公积金贷款,0,0,21,1
A7县星沙商业乐园C栋门面油烟扰民,0,0,21,1
A市男职工生育保险怎么报销？,0,0,14,70.0
请给A3区莱茵城B8栋附近安装隔音带,0,0,3,179.0
A市德鸿餐饮店拖欠工资，员工维权难,0,0,4,169.0
西地省聚利人普惠投资有限公司涉嫌诈骗巨额资金,17,2,15,59.0
A1区朝阳社区金三角超市对面的烧烤摊位油烟扰民,0,0,5,159.0
A市楚江新区梅溪湖杨梅公园改建成了变电站,3,0,7,139.0
A3区青青家园小区乐果果零食炒货公共通道摆放空调扰民,0,1,8,129.0
A市地铁管理某些方面需要改进,7,0,7,138.0
投诉A市捞刀河刀剪厂重复收取办证手续费,0,0,3,178.0
A市泉塘上下班通勤困难，可否增开公交线路？,1,0,6,148.0
请提高A2区八万编外合同教师的待遇,1,0,7,138.0
A市德雅路什么时候修？,1,0,8,128.0
投诉A1区公寓幼儿园招生不透明，存在暗箱操作,1,0,11,98.0
请依法处理好A7县星沙商业乐园的历史遗留问题,4,0,6,147.0
反映A5区老人上门接种疫苗问题,1,0,5,157.0
A3区莲花镇龙台村很多人焚烧稻草,0,0,2,186.0
A市松雅湖东方航标2栋2楼有传销窝点,5,0,5,156.0
A1区远大一路辉煌国际城二期物业公司提供虚假场地证明,6,1,9,116.0
请问A市暮坪大桥什么时候开工建设？,16,0,11,95.0
A市阳光花园违建使天花板漏水,0,0,2,185.0
反映A8县江山美景楼盘问题,0,0,15,56.0
A3区B4区涉外景园小区物业霸道，不理会业主及社区调解,0,0,3,174.0
A3区潇楚南路洋湖段怎么还没修好？,0,0,5,154.0
A4区双湾国际小区2栋门面小餐馆油烟废气严重污染环境,2,0,19,15.0
反映A7县多盘长时间捂盘等问题,12,1,6,143.0
关于修建A市农科院立交和红旗路立交的建议,2,0,3,173.0
对A7县晶华美地F栋单电梯噪音的二次投诉,0,0,2,183.0
A5区人民中路地质家园二期拖欠农民工工资,0,0,17,34.0
A市地铁二号线满车贴苏宁的广告纸，气味刺鼻,2,0,4,162.0
